ds;y
2022-7-1 0:0:0;3
2022-7-1 0:30:0;1
2022-7-1 0:50:0;6
2022-7-1 1:0:0;1
2022-7-1 1:30:0;1
2022-7-1 10:0:0;6
2022-7-1 10:10:0;2
2022-7-1 10:20:0;4
2022-7-1 10:23:0;1
2022-7-1 10:30:0;1
2022-7-1 10:33:0;1
2022-7-1 10:40:0;2
2022-7-1 10:50:0;1
2022-7-1 10:53:0;1
2022-7-1 10:56:0;1
2022-7-1 11:0:0;6
2022-7-1 11:10:0;3
2022-7-1 11:20:0;1
2022-7-1 11:30:0;2
2022-7-1 11:40:0;1
2022-7-1 11:50:0;3
2022-7-1 12:0:0;4
2022-7-1 12:10:0;2
2022-7-1 12:20:0;1
2022-7-1 12:30:0;3
2022-7-1 12:40:0;3
2022-7-1 12:50:0;2
2022-7-1 13:0:0;7
2022-7-1 13:10:0;1
2022-7-1 13:30:0;4
2022-7-1 13:40:0;3
2022-7-1 13:50:0;2
2022-7-1 13:7:0;1
2022-7-1 14:0:0;10
2022-7-1 14:10:0;2
2022-7-1 14:20:0;2
2022-7-1 14:30:0;4
2022-7-1 14:40:0;1
2022-7-1 14:52:0;1
2022-7-1 15:0:0;3
2022-7-1 15:10:0;3
2022-7-1 15:30:0;1
2022-7-1 15:40:0;1
2022-7-1 15:50:0;3
2022-7-1 16:0:0;9
2022-7-1 16:10:0;2
2022-7-1 16:20:0;4
2022-7-1 16:30:0;5
2022-7-1 16:40:0;3
2022-7-1 16:50:0;3
2022-7-1 17:0:0;5
2022-7-1 17:10:0;4
2022-7-1 17:20:0;1
2022-7-1 17:30:0;3
2022-7-1 18:0:0;6
2022-7-1 18:10:0;1
2022-7-1 18:30:0;4
2022-7-1 18:40:0;2
2022-7-1 18:50:0;1
2022-7-1 19:0:0;1
2022-7-1 19:10:0;2
2022-7-1 19:20:0;4
2022-7-1 19:30:0;3
2022-7-1 19:40:0;2
2022-7-1 19:50:0;1
2022-7-1 2:0:0;9
2022-7-1 2:50:0;2
2022-7-1 20:0:0;1
2022-7-1 20:10:0;1
2022-7-1 21:10:0;1
2022-7-1 21:20:0;1
2022-7-1 21:30:0;1
2022-7-1 21:32:0;1
2022-7-1 22:0:0;2
2022-7-1 22:10:0;1
2022-7-1 22:30:0;1
2022-7-1 23:0:0;1
2022-7-1 23:10:0;1
2022-7-1 4:30:0;1
2022-7-1 4:40:0;2
2022-7-1 5:0:0;1
2022-7-1 5:10:0;1
2022-7-1 5:20:0;1
2022-7-1 5:30:0;1
2022-7-1 6:0:0;3
2022-7-1 6:10:0;1
2022-7-1 6:20:0;2
2022-7-1 6:30:0;1
2022-7-1 6:40:0;2
2022-7-1 6:50:0;3
2022-7-1 7:0:0;2
2022-7-1 7:10:0;1
2022-7-1 7:20:0;1
2022-7-1 7:30:0;4
2022-7-1 7:40:0;5
2022-7-1 7:50:0;3
2022-7-1 8:0:0;4
2022-7-1 8:10:0;3
2022-7-1 8:19:0;1
2022-7-1 8:20:0;3
2022-7-1 8:30:0;5
2022-7-1 8:40:0;4
2022-7-1 8:50:0;3
2022-7-1 9:0:0;10
2022-7-1 9:10:0;1
2022-7-1 9:30:0;5
2022-7-1 9:50:0;2
2022-7-1 9:56:0;1
2022-7-1 9:7:0;1
2022-7-10 1:0:0;1
2022-7-10 1:20:0;1
2022-7-10 10:0:0;1
2022-7-10 10:30:0;1
2022-7-10 11:0:0;1
2022-7-10 12:20:0;1
2022-7-10 13:0:0;1
2022-7-10 13:20:0;2
2022-7-10 14:0:0;5
2022-7-10 14:20:0;1
2022-7-10 17:0:0;1
2022-7-10 17:10:0;1
2022-7-10 17:20:0;1
2022-7-10 18:0:0;1
2022-7-10 18:20:0;1
2022-7-10 18:30:0;1
2022-7-10 2:0:0;3
2022-7-10 20:50:0;1
2022-7-10 21:20:0;1
2022-7-10 22:10:0;1
2022-7-10 23:0:0;1
2022-7-10 5:0:0;2
2022-7-10 5:10:0;1
2022-7-10 5:20:0;1
2022-7-10 5:30:0;2
2022-7-10 6:0:0;4
2022-7-10 7:10:0;1
2022-7-10 8:50:0;1
2022-7-10 9:40:0;1
2022-7-11 10:0:0;2
2022-7-11 10:10:0;3
2022-7-11 10:20:0;1
2022-7-11 10:30:0;4
2022-7-11 10:40:0;2
2022-7-11 10:50:0;1
2022-7-11 11:0:0;1
2022-7-11 11:10:0;2
2022-7-11 11:15:0;1
2022-7-11 11:33:0;1
2022-7-11 11:37:0;1
2022-7-11 11:50:0;1
2022-7-11 12:0:0;4
2022-7-11 12:10:0;1
2022-7-11 12:20:0;3
2022-7-11 12:30:0;3
2022-7-11 12:40:0;1
2022-7-11 12:50:0;1
2022-7-11 13:0:0;6
2022-7-11 13:20:0;1
2022-7-11 13:30:0;2
2022-7-11 13:50:0;1
2022-7-11 14:0:0;8
2022-7-11 14:10:0;2
2022-7-11 14:30:0;3
2022-7-11 14:40:0;1
2022-7-11 15:0:0;3
2022-7-11 15:10:0;3
2022-7-11 15:20:0;2
2022-7-11 15:30:0;3
2022-7-11 15:40:0;2
2022-7-11 15:50:0;2
2022-7-11 16:0:0;4
2022-7-11 16:30:0;3
2022-7-11 16:40:0;1
2022-7-11 16:50:0;2
