FECHA;TIME;y
2022-07-01;08:10:00;1
2022-07-01;08:20:00;2
2022-07-01;08:30:00;1
2022-07-01;08:40:00;1
2022-07-01;09:00:00;3
2022-07-01;09:30:00;3
2022-07-01;09:50:00;2
2022-07-01;10:10:00;2
2022-07-01;10:20:00;3
2022-07-01;10:30:00;1
2022-07-01;10:40:00;2
2022-07-01;10:50:00;3
2022-07-01;11:00:00;1
2022-07-01;11:10:00;2
2022-07-01;11:50:00;1
2022-07-01;12:00:00;2
2022-07-01;12:10:00;1
2022-07-01;12:40:00;1
2022-07-01;12:50:00;1
2022-07-01;13:00:00;2
2022-07-01;13:10:00;1
2022-07-01;13:30:00;1
2022-07-01;13:40:00;2
2022-07-01;13:50:00;1
2022-07-01;14:20:00;1
2022-07-01;14:30:00;1
2022-07-01;14:40:00;1
2022-07-01;14:50:00;1
2022-07-01;15:50:00;2
2022-07-01;16:00:00;2
2022-07-01;16:20:00;2
2022-07-01;16:50:00;2
2022-07-01;17:10:00;3
2022-07-01;18:30:00;1
2022-07-01;18:40:00;1
2022-07-01;18:50:00;1
2022-07-01;19:10:00;2
2022-07-01;19:20:00;2
2022-07-01;19:30:00;1
2022-07-01;19:40:00;1
2022-07-01;19:50:00;1
2022-07-01;21:30:00;1
2022-07-02;14:40:00;1
2022-07-02;14:50:00;1
2022-07-02;15:00:00;1
2022-07-02;15:10:00;1
2022-07-02;15:40:00;2
2022-07-02;15:50:00;2
2022-07-02;16:00:00;2
2022-07-02;16:10:00;2
2022-07-02;16:20:00;1
2022-07-02;16:30:00;2
2022-07-02;16:40:00;1
2022-07-02;16:50:00;2
2022-07-02;17:10:00;1
2022-07-02;17:30:00;2
2022-07-02;17:40:00;1
2022-07-02;17:50:00;1
2022-07-02;18:00:00;1
2022-07-02;18:10:00;1
2022-07-02;18:30:00;1
2022-07-02;18:40:00;1
2022-07-02;19:10:00;1
2022-07-02;19:40:00;1
2022-07-02;19:50:00;1
2022-07-02;20:10:00;1
2022-07-02;22:10:00;1
2022-07-04;08:40:00;5
2022-07-04;08:50:00;4
2022-07-04;09:00:00;5
2022-07-04;09:10:00;4
2022-07-04;09:20:00;2
2022-07-04;09:30:00;1
2022-07-04;09:50:00;2
2022-07-04;10:00:00;1
2022-07-04;10:10:00;2
2022-07-04;10:20:00;1
2022-07-04;10:30:00;1
2022-07-04;10:50:00;3
2022-07-04;11:00:00;3
2022-07-04;11:10:00;3
2022-07-04;11:20:00;3
2022-07-04;11:40:00;2
2022-07-04;11:50:00;1
2022-07-04;12:10:00;2
2022-07-04;12:30:00;2
2022-07-04;12:50:00;1
2022-07-04;13:00:00;1
2022-07-04;13:40:00;1
2022-07-04;14:00:00;1
2022-07-04;14:10:00;1
2022-07-04;14:30:00;1
2022-07-04;14:50:00;1
2022-07-04;15:00:00;1
2022-07-04;16:30:00;2
2022-07-04;16:40:00;2
2022-07-04;17:00:00;2
2022-07-04;17:20:00;1
2022-07-04;17:40:00;1
2022-07-04;18:00:00;1
2022-07-04;18:10:00;1
2022-07-04;18:30:00;2
2022-07-04;18:40:00;2
2022-07-04;18:50:00;1
2022-07-04;19:00:00;1
2022-07-04;19:20:00;1
2022-07-04;19:30:00;1
2022-07-04;20:10:00;1
2022-07-04;20:50:00;1
2022-07-04;21:40:00;1
2022-07-05;07:50:00;6
2022-07-05;08:00:00;2
2022-07-05;08:20:00;3
2022-07-05;08:30:00;1
2022-07-05;08:40:00;1
2022-07-05;08:50:00;3
2022-07-05;09:00:00;2
2022-07-05;09:20:00;1
2022-07-05;09:30:00;1
2022-07-05;09:40:00;2
2022-07-05;09:50:00;2
2022-07-05;10:00:00;2
2022-07-05;10:20:00;3
2022-07-05;10:30:00;2
2022-07-05;10:50:00;1
2022-07-05;11:00:00;2
2022-07-05;11:10:00;1
2022-07-05;11:20:00;2
2022-07-05;11:30:00;3
2022-07-05;11:40:00;2
2022-07-05;11:50:00;1
2022-07-05;12:00:00;2
2022-07-05;12:10:00;1
2022-07-05;12:20:00;1
2022-07-05;12:40:00;1
2022-07-05;12:50:00;1
2022-07-05;13:00:00;2
2022-07-05;13:30:00;3
2022-07-05;13:40:00;1
2022-07-05;13:50:00;1
2022-07-05;14:50:00;2
2022-07-05;15:00:00;1
2022-07-05;15:10:00;1
2022-07-05;15:30:00;1
2022-07-05;15:50:00;1
2022-07-05;16:00:00;1
2022-07-05;16:10:00;1
2022-07-05;16:20:00;1
2022-07-05;16:40:00;1
2022-07-05;17:10:00;2
2022-07-05;17:30:00;3
2022-07-05;17:50:00;2
2022-07-05;18:00:00;2
2022-07-05;18:10:00;1
2022-07-05;18:30:00;2
2022-07-05;18:40:00;1
2022-07-05;18:50:00;1
2022-07-05;19:00:00;1
2022-07-05;19:10:00;1
2022-07-05;19:40:00;1
2022-07-05;20:00:00;2
2022-07-05;20:10:00;1
2022-07-05;20:30:00;2
2022-07-05;20:50:00;1
2022-07-06;08:40:00;5
2022-07-06;08:50:00;5
2022-07-06;09:10:00;1
2022-07-06;09:20:00;4
2022-07-06;09:40:00;1
2022-07-06;09:50:00;4
2022-07-06;10:00:00;5
2022-07-06;10:20:00;1
2022-07-06;10:30:00;1
2022-07-06;10:40:00;1
2022-07-06;10:50:00;1
2022-07-06;11:10:00;1
2022-07-06;11:20:00;1
2022-07-06;11:30:00;1
2022-07-06;11:40:00;1
2022-07-06;11:50:00;2
2022-07-06;12:00:00;2
2022-07-06;12:10:00;1
2022-07-06;12:20:00;1
2022-07-06;12:30:00;1
2022-07-06;12:40:00;3
2022-07-06;13:10:00;3
2022-07-06;13:30:00;1
2022-07-06;15:10:00;2
2022-07-06;15:20:00;2
2022-07-06;15:40:00;1
2022-07-06;15:50:00;2
2022-07-06;16:00:00;2
2022-07-06;16:10:00;1
2022-07-06;16:20:00;1
2022-07-06;16:30:00;1
2022-07-06;16:50:00;1
2022-07-06;17:00:00;2
2022-07-06;17:10:00;1
2022-07-06;17:20:00;1
2022-07-06;17:30:00;1
2022-07-06;17:50:00;1
2022-07-06;19:10:00;3
2022-07-06;19:20:00;1
2022-07-06;19:50:00;1
2022-07-06;20:00:00;1
2022-07-06;20:30:00;1
2022-07-06;21:50:00;1
2022-07-07;07:40:00;1
2022-07-07;07:50:00;3
2022-07-07;08:00:00;1
2022-07-07;08:10:00;2
2022-07-07;08:20:00;1
2022-07-07;08:40:00;1
2022-07-07;09:00:00;1
2022-07-07;10:30:00;3
2022-07-07;10:40:00;1
2022-07-07;10:50:00;1
2022-07-07;11:10:00;3
2022-07-07;11:30:00;1
2022-07-07;11:40:00;1
2022-07-07;12:00:00;2
2022-07-07;12:10:00;1
2022-07-07;12:20:00;2
2022-07-07;12:30:00;1
2022-07-07;12:40:00;2
2022-07-07;12:50:00;1
2022-07-07;13:20:00;1
2022-07-07;13:30:00;1
2022-07-07;13:50:00;1
2022-07-07;14:00:00;1
2022-07-07;14:40:00;2
2022-07-07;15:00:00;1
2022-07-07;15:10:00;3
2022-07-07;15:30:00;2
2022-07-07;15:40:00;2
2022-07-07;15:50:00;2
2022-07-07;16:00:00;1
2022-07-07;16:20:00;1
2022-07-07;16:30:00;1
2022-07-07;16:40:00;1
2022-07-07;16:50:00;2
2022-07-07;17:10:00;2
2022-07-07;17:30:00;1
2022-07-07;17:40:00;1
2022-07-07;17:50:00;2
2022-07-07;18:00:00;1
2022-07-07;18:20:00;2
2022-07-07;18:30:00;1
2022-07-07;18:40:00;2
2022-07-07;19:00:00;2
2022-07-07;19:10:00;3
2022-07-07;19:20:00;1
2022-07-07;19:30:00;1
2022-07-07;19:50:00;2
2022-07-07;20:00:00;2
2022-07-07;20:10:00;1
2022-07-07;20:30:00;2
2022-07-08;06:50:00;1
2022-07-08;07:10:00;2
2022-07-08;07:20:00;1
2022-07-08;07:50:00;2
2022-07-08;08:10:00;1
2022-07-08;08:20:00;1
2022-07-08;08:30:00;1
2022-07-08;08:40:00;2
2022-07-08;08:50:00;1
2022-07-08;09:10:00;1
2022-07-08;09:20:00;2
2022-07-08;09:30:00;1
2022-07-08;09:40:00;2
2022-07-08;09:50:00;1
2022-07-08;10:00:00;1
2022-07-08;10:10:00;2
2022-07-08;10:20:00;1
2022-07-08;10:30:00;1
2022-07-08;10:40:00;3
2022-07-08;10:50:00;1
2022-07-08;11:30:00;1
2022-07-08;11:40:00;1
2022-07-08;14:40:00;1
2022-07-08;14:50:00;3
