FECHA;TIME;y
1/7/2022;00:00:00;2
1/7/2022;00:20:00;1
1/7/2022;00:40:00;6
1/7/2022;01:00:00;1
1/7/2022;01:20:00;1
1/7/2022;02:00:00;9
1/7/2022;02:40:00;2
1/7/2022;03:00:00;1
1/7/2022;04:20:00;2
1/7/2022;04:40:00;2
1/7/2022;05:00:00;3
1/7/2022;05:20:00;3
1/7/2022;06:00:00;4
1/7/2022;06:20:00;4
1/7/2022;06:40:00;6
1/7/2022;07:00:00;5
1/7/2022;07:20:00;5
1/7/2022;07:40:00;7
1/7/2022;08:00:00;12
1/7/2022;08:20:00;8
1/7/2022;08:40:00;8
1/7/2022;09:00:00;13
1/7/2022;09:20:00;8
1/7/2022;09:40:00;4
1/7/2022;10:00:00;7
1/7/2022;10:20:00;7
1/7/2022;10:40:00;6
1/7/2022;11:00:00;8
1/7/2022;11:20:00;4
1/7/2022;11:40:00;5
1/7/2022;12:00:00;6
1/7/2022;12:20:00;6
1/7/2022;12:40:00;5
1/7/2022;13:00:00;8
1/7/2022;13:20:00;5
1/7/2022;13:40:00;5
1/7/2022;14:00:00;14
1/7/2022;14:20:00;6
1/7/2022;14:40:00;3
1/7/2022;15:00:00;6
1/7/2022;15:20:00;2
1/7/2022;15:40:00;4
1/7/2022;16:00:00;10
1/7/2022;16:20:00;10
1/7/2022;16:40:00;8
1/7/2022;17:00:00;8
1/7/2022;17:20:00;6
1/7/2022;18:00:00;9
1/7/2022;18:20:00;4
1/7/2022;18:40:00;3
1/7/2022;19:00:00;3
1/7/2022;19:20:00;6
1/7/2022;19:40:00;3
1/7/2022;20:00:00;2
1/7/2022;21:00:00;3
1/7/2022;21:20:00;4
1/7/2022;22:00:00;3
1/7/2022;22:20:00;1
1/7/2022;23:00:00;2
2/7/2022;00:00:00;3
2/7/2022;00:20:00;3
2/7/2022;00:40:00;6
2/7/2022;01:00:00;1
2/7/2022;01:20:00;1
2/7/2022;01:40:00;1
2/7/2022;02:00:00;4
2/7/2022;02:40:00;1
2/7/2022;03:20:00;1
2/7/2022;04:00:00;1
2/7/2022;04:20:00;2
2/7/2022;04:40:00;3
2/7/2022;05:00:00;1
2/7/2022;05:20:00;2
2/7/2022;06:00:00;3
2/7/2022;06:40:00;2
2/7/2022;07:00:00;1
2/7/2022;07:20:00;4
2/7/2022;08:00:00;2
2/7/2022;08:20:00;5
2/7/2022;09:00:00;4
2/7/2022;09:20:00;5
2/7/2022;09:40:00;2
2/7/2022;10:00:00;1
2/7/2022;10:20:00;1
2/7/2022;11:00:00;3
2/7/2022;11:20:00;1
2/7/2022;11:40:00;1
2/7/2022;12:00:00;4
2/7/2022;12:20:00;1
2/7/2022;13:00:00;5
2/7/2022;13:20:00;3
2/7/2022;14:00:00;10
2/7/2022;14:20:00;2
2/7/2022;14:40:00;4
2/7/2022;15:00:00;4
2/7/2022;15:20:00;1
2/7/2022;15:40:00;4
2/7/2022;16:00:00;6
2/7/2022;16:20:00;3
2/7/2022;16:40:00;4
2/7/2022;17:00:00;2
2/7/2022;17:20:00;3
2/7/2022;17:40:00;2
2/7/2022;18:00:00;17
2/7/2022;18:20:00;1
2/7/2022;18:40:00;1
2/7/2022;19:00:00;2
2/7/2022;19:20:00;1
2/7/2022;19:40:00;2
2/7/2022;20:00:00;2
2/7/2022;20:20:00;1
2/7/2022;20:40:00;1
2/7/2022;21:00:00;1
2/7/2022;21:20:00;3
2/7/2022;22:00:00;11
3/7/2022;00:40:00;1
3/7/2022;01:20:00;1
3/7/2022;02:00:00;3
3/7/2022;04:00:00;3
3/7/2022;04:20:00;1
3/7/2022;04:40:00;1
3/7/2022;05:00:00;2
3/7/2022;05:20:00;4
3/7/2022;06:00:00;6
3/7/2022;06:20:00;2
3/7/2022;07:00:00;2
3/7/2022;07:20:00;3
3/7/2022;08:00:00;1
3/7/2022;08:20:00;1
3/7/2022;09:20:00;2
3/7/2022;10:00:00;4
3/7/2022;10:20:00;1
3/7/2022;11:20:00;1
3/7/2022;12:00:00;2
3/7/2022;13:00:00;6
3/7/2022;13:20:00;4
3/7/2022;14:00:00;9
3/7/2022;14:20:00;1
3/7/2022;14:40:00;1
3/7/2022;15:00:00;2
3/7/2022;15:20:00;1
3/7/2022;16:00:00;1
3/7/2022;16:20:00;1
3/7/2022;16:40:00;1
3/7/2022;17:00:00;4
3/7/2022;17:40:00;2
3/7/2022;18:00:00;7
3/7/2022;18:20:00;2
3/7/2022;19:00:00;1
3/7/2022;19:20:00;1
3/7/2022;20:00:00;1
3/7/2022;20:20:00;1
